Kaldi's Coffee,"4771 Jefferson St, Kansas City, MO 64112"
Westport Coffee House,"4010 Pennsylvania Ave, Kansas City, MO 64111"
Starbucks,"302 Nichols Rd, Kansas City, MO 64112"
Hi Hat Coffee,"5012 State Line Rd, Westwood Hills, KS 66205"
The Roasterie Cafe,"2250 W 47th Pl, Westwood, KS 66205"
Broadway Cafe,"4106 Broadway Blvd, Kansas City, MO 64111"
Filling Station Coffee,"1010 Westport Rd, Kansas City, MO 64111"
Crows Coffee,"304 E 51st St, Kansas City, MO 64112"
Oddly Correct Coffee Bar,"3940 Main St, Kansas City, MO 64111"
Downbeat Coffee + Tea,"1200 W 39th St #2, Kansas City, MO 64111"
Archives Coffee Company,"4801 Main St, Kansas City, MO 64112"
Aixois,"251 E 55th St, Kansas City, MO 64113"
Cafe Corazon,"1721 Westport Rd, Kansas City, MO 64111"
Front Range Coffeehouse,"2718 W 53rd St, Fairway, KS 66205"
Mana Bar,"1412 Westport Rd, Kansas City, MO 64111"
Broadway Roasting Co.,"4012 Washington St, Kansas City, MO 64111"
Messenger Coffee Co.,"1624 Grand Blvd, Kansas City, MO 64108"
Second Best Coffee,"328 W 85th St, Kansas City, MO 64114"
Thou Mayest Coffee Roasters,"519 E 18th St, Kansas City, MO 64108"
Made in KC Cafe,"1114 Baltimore Ave, Kansas City, MO 64105"
Urban Prairie Coffee,"5606b Johnson Dr, Mission, KS 66202"
Donutology,"1009 Westport Rd, Kansas City, MO 64111"
Blip Roasters,"1101 Mulberry St, Kansas City, MO 64101"
Splitlog Coffee Co.,"548 Central Ave, Kansas City, KS 66101"
Mildred's Coffeehouse,"1901 Wyandotte St, Kansas City, MO 64108"
Allegro Coffee Company,"301 E 51st St, Kansas City, MO 64112"
Vested Coffee,"310 W 8th St, Kansas City, MO 64105"
Monarch Coffee,"3550 Broadway Blvd, Kansas City, MO 64111"
Parisi Cafe,"30 W Pershing Rd #100, Kansas City, MO 64108"
City Market Coffee,"305 Main St, Kansas City, MO 64105"
Hattie's Fine Coffee,"4195 Somerset Dr, Prairie Village, KS 66208"
Homer's Coffee House,"7126 W 80th St, Overland Park, KS 66204"
Eleos Coffee House,"3401 Independence Ave, Kansas City, MO 64124"
Scooter's Coffee,"7621 Shawnee Mission Pkwy, Overland Park, KS 66202"
Mud Pie Coffeehouse,"1615 W 39th St, Kansas City, MO 64111"
Goat Hill Coffee,"811 W 17th St, Kansas City, MO 64108"
PT's at the Crossroads,"310 Southwest Blvd, Kansas City, MO 64108"
Black Dog Coffeehouse,"12815 W 87th St Pkwy, Lenexa, KS 66215"
Higher Grounds Coffee Shop,"3523 E Red Bridge Rd, Kansas City, MO 64137"
Caribou Coffee,"6655 Martway St, Mission, KS 66202"
Ubuntu Village,"4327 Troost Ave, Kansas City, MO 64110"
The Wild Way,"708 E 19th St, Kansas City, MO 64108"
Headrush Roasters,"1638, 4115 N Mulberry Dr Suite A, Kansas City, MO 64116"
